Team Name,Team City,Competition Level,Gender Division,lat,lon
Frenzy,Chicago,Club,Women,41.8755616,-87.6244212
Haymaker,Chicago,Club,Men,41.8755616,-87.6244212
Helix,Chicago,Club,Mixed,41.8755616,-87.6244212
Helix,Chicago,Club,Women,41.8755616,-87.6244212
Jabba,Chicago,Club,Mixed,41.8755616,-87.6244212
Nemesis,Chicago,Club,Women,41.8755616,-87.6244212
Nemesis,Chicago,Club,Mixed,41.8755616,-87.6244212
Shakedown,Chicago,Club,Mixed,41.8755616,-87.6244212
South Shore Line,Chicago,Club,Men,41.8755616,-87.6244212
Stackcats,Chicago,Club,Mixed,41.8755616,-87.6244212
Taco Cat,Chicago,Club,Mixed,41.8755616,-87.6244212
UPA,Chicago,Club,Mixed,41.8755616,-87.6244212
Vortex,Chicago,Club,Men,41.8755616,-87.6244212
Tequila Mockingbird,Chicago,Club,Mixed,41.8755616,-87.6244212
Platypi,Chico,Club,Mixed,39.7284945,-121.8374777
Beachboat,Cincinnati,Club,Mixed,39.1014537,-84.5124602
Belle,Cincinnati,Club,Women,39.1014537,-84.5124602
Cincinnati Flying Piglet,Cincinnati,Club,Men,39.1014537,-84.5124602
Flying Pig,Cincinnati,Club,Men,39.1014537,-84.5124602
Goose Lee,Cincinnati,Club,Mixed,39.1014537,-84.5124602
Notorious P.I.G.,Cincinnati,Club,Mixed,39.1014537,-84.5124602
Schweingeist,Cincinnati,Club,Men,39.1014537,-84.5124602
Sparks,Cincinnati,Club,Mixed,39.1014537,-84.5124602
Sparks,Cincinnati,Club,Women,39.1014537,-84.5124602
Steamboat,Cincinnati,Club,Mixed,39.1014537,-84.5124602
Sureshot,Cincinnati,Club,Mixed,39.1014537,-84.5124602
Sureshot,Cincinnati,Club,Women,39.1014537,-84.5124602
The Boys,Cincinnati,Club,Men,39.1014537,-84.5124602
Transatlantic Danger Zone,CIncinnati,Club,Men,39.1014537,-84.5124602
Team Mexico,Ciudad de Mexico,Club,Mixed,36.7357179,-107.9923761
BRUH,Clemson,Club,Mixed,34.6850749,-82.8364111
Bighting Fogies,Cleveland,Club,Mixed,41.5051613,-81.6934446
Chimney,Cleveland,Club,Men,41.5051613,-81.6934446
CLE Smokestack,Cleveland,Club,Men,41.5051613,-81.6934446
North Coast Disc Co.,Cleveland,Club,Mixed,41.5051613,-81.6934446
Notorious C.L.E.,Cleveland,Club,Mixed,41.5051613,-81.6934446
Notorious C.L.E.,Cleveland,Club,Women,41.5051613,-81.6934446
Marxmen,Clifton,Club,Men,40.8584328,-74.1637553
MxD,College Park,Club,Mixed,38.980666,-76.9369189
Balloon,College Station,Club,Mixed,30.5955289,-96.3071042
Springs Mixed Ulty Team (SMUT),Colorado Springs,Club,Mixed,38.8339578,-104.8253485
Syndicate,Colorado Springs,Club,Men,38.8339578,-104.8253485
Barracuda ,Columbia,Club,Men,34.0007493,-81.0343313
Dream Team Frisbee,Columbia,Club,Mixed,34.0007493,-81.0343313
Free Ride,Columbia,Club,Mixed,34.0007493,-81.0343313
Heavy Flow,Columbia,Club,Mixed,34.0007493,-81.0343313
Warbird,Columbia,Club,Men,34.0007493,-81.0343313
Columbus Cocktails,Columbus,Club,Mixed,39.9622601,-83.0007065
CUDA Fall League,Columbus,Club,Mixed,39.9622601,-83.0007065
Low Five,Columbus,Club,Men,39.9622601,-83.0007065
Petey's Parrots,Columbus,Club,Mixed,39.9622601,-83.0007065
Petey's Pirates,Columbus,Club,Mixed,39.9622601,-83.0007065
Rival,Columbus,Club,Women,39.9622601,-83.0007065
Rival,Columbus,Club,Mixed,39.9622601,-83.0007065
CUFAX,Cranford,Club,Mixed,40.6584358,-74.2995923
Dallas United: Desperados,Dallas,Club,Men,32.7762719,-96.7968559
Dallas United: Neato Banditos,Dallas,Club,Men,32.7762719,-96.7968559
Dallas United: Outlaws,Dallas,Club,Men,32.7762719,-96.7968559
Maeve,Dallas,Club,Women,32.7762719,-96.7968559
Plex,Dallas,Club,Men,32.7762719,-96.7968559
Risky Business,Dallas,Club,Mixed,32.7762719,-96.7968559
Temptress,Dallas,Club,Women,32.7762719,-96.7968559
Tex Mix,Dallas,Club,Mixed,32.7762719,-96.7968559
Texas Swing,Dallas,Club,Men,32.7762719,-96.7968559
Texas Tango,Dallas,Club,Women,32.7762719,-96.7968559
Texas Two Step,Dallas,Club,Men,32.7762719,-96.7968559
Public Enemy,Dallas,Club,Mixed,32.7762719,-96.7968559
Inside Rakete,Darmstadt,Club,Men,38.0992098,-87.5789075
Crop That Top (Davidson),Davidson,Club,Mixed,35.4992614,-80.8485218
Green River Swordfish,Davis,Club,Men,40.7474784,-92.3965311
Enigma,Dayton,Club,Men,39.7589478,-84.1916069
Thunderpants the Magic Dragon,Dayton,Club,Mixed,39.7589478,-84.1916069
Los Penguinos,DC/Baltimore,Club,Mixed,39.0630277,-76.8374994
Colorado Cutthroat ,Denver,Club,Women,39.7392364,-104.9848623
Colorado Small Batch,Denver,Club,Women,39.7392364,-104.9848623
Daiquiri Dorks,Denver,Club,Mixed,39.7392364,-104.9848623
EDM,Denver,Club,Mixed,39.7392364,-104.9848623
Inception,Denver,Club,Men,39.7392364,-104.9848623
Johnny Bravo,Denver,Club,Men,39.7392364,-104.9848623
Johnny Encore,Denver,Club,Men,39.7392364,-104.9848623
Love Tractor,Denver,Club,Mixed,39.7392364,-104.9848623
Merry Band of Muffin Makers from the Land of Megastar,Denver,Club,Mixed,39.7392364,-104.9848623
Mesteño,Denver,Club,Mixed,39.7392364,-104.9848623
Sweet Action,Denver,Club,Mixed,39.7392364,-104.9848623
Colorado Cutthroat,Denver/Boulder,Club,Men,42.7506965,-109.7005117
Molly Brown,Denver/Boulder,Club,Women,42.7506965,-109.7005117
DeMo,Des Moines,Club,Men,41.5910323,-93.6046655
Wingdings,Des Moines,Club,Mixed,41.5910323,-93.6046655
Doppler Effect,Detroit,Club,Mixed,42.3315509,-83.0466403
DingWop,Duluth,Club,Men,46.7729322,-92.1251218
2016 New Year's Day Hat Tournament,Durham,Club,Mixed,35.996653,-78.9018053
Beezer Ultimate,Durham,Club,Mixed,35.996653,-78.9018053
Brickhouse,Durham,Club,Men,35.996653,-78.9018053
Phoenix,Durham,Club,Women,35.996653,-78.9018053
Toro,Durham,Club,Mixed,35.996653,-78.9018053
Turbine,Durham,Club,Men,35.996653,-78.9018053
Mishigami,East Lansing,Club,Mixed,42.7355416,-84.4852469
Dark Star,Eugene,Club,Men,44.0505054,-123.0950506
Flicky Stardust and the Cutters From Mars,Eugene,Club,Men,44.0505054,-123.0950506
Further,Eugene,Club,Women,44.0505054,-123.0950506
Midnight Whiskey,Eugene,Club,Mixed,44.0505054,-123.0950506
Rogue Grimace,Evanston,Club,Men,42.0447388,-87.6930459
Pocket City Approach,Evansville,Club,Mixed,37.9747645,-87.5558483
LORD,Fairfax,Club,Mixed,38.8462236,-77.3063733
Lord Fairfax,Fairfax,Club,Mixed,38.8462236,-77.3063733
Munch Box,Fairfax,Club,Men,38.8462236,-77.3063733
The Summer of George,Fairfax,Club,Men,38.8462236,-77.3063733
Alternative Stacks,Fairfield,Club,Mixed,38.2493581,-122.039966
Big Fish,Falmouth,Club,Mixed,38.6767366,-84.3304592
Nautilus,Farmington,Club,Mixed,44.6402434,-93.1435497
Dreadnought,Fayetteville,Club,Men,36.0625843,-94.1574328
rubber duck ultimate.,Fayetteville,Club,Mixed,36.0625843,-94.1574328
Monsoon Ultimate,Flagstaff,Club,Women,35.1987522,-111.6518229
Thundersnow,Flagstaff,Club,Men,35.1987522,-111.6518229
Bulldogs,Flint,Club,Men,43.0161693,-83.6900211
Florida United,Florida,Club,Men,27.7567667,-81.4639835
Flash Flood,Flower Mound,Club,Men,33.0283854,-97.0867203
Choice City Hops,Fort Collins,Club,Men,40.5508527,-105.0668085
Interesting Tummy Birds ,Fort Collins,Club,Men,40.5508527,-105.0668085
shame.,Fort Collins,Club,Mixed,40.5508527,-105.0668085
Trainwreck,Fort Collins,Club,Women,40.5508527,-105.0668085
Swipe >,Fossil Cove,Club,Mixed,30.560543,-97.738913
8 Bit Heroes,Frederick,Club,Mixed,39.4142186,-77.4109269
SPACE INVADERS,Fredericksburg,Club,Men,38.3031837,-77.4605399
Spawn,Fredericton,Club,Mixed,26.940428,-82.282582
Weird Ultimate,Gainesville,Club,Mixed,29.6519684,-82.3249846
High Level,Gainesville,Club,Men,29.6519684,-82.3249846
Tabby Rosa,Gainesville,Club,Women,29.6519684,-82.3249846
Vicious Cycle,Gainesville,Club,Men,29.6519684,-82.3249846
